pl_name,hostname,pl_refname,pl_pubdate,soltype,pl_controv_flag,default_flag,discoverymethod,disc_year,disc_telescope,disc_facility,ra,dec,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbeccen,pl_orblper,pl_orbincl,pl_imppar,pl_rade,pl_radeerr1,pl_radeerr2,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_masse,pl_msinie,pl_dens,pl_insol,pl_eqt,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tsystemref,pl_trandur,pl_rvamp,st_teff,st_rad,st_mass,st_met,st_radv,st_spectype,sy_jmag,sy_hmag,sy_kmag,sy_vmag,sy_gaiamag
"TOI-1291 b","TOI-1291","<a refstr=LAFARGA_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026MNRAS.tmp..514L/abstract target=ref>Lafarga et al. 2026</a>","2026-03","Published Confirmed",0,1,"Transit",2026,"0.1 m TESS Telescope","Transiting Exoplanet Survey Satellite (TESS)",245.8180089,62.9251213,7.16200975510,0.00001987285,-0.00002034529,,,,,,88.38393,0.193425,5.63826391,0.34804882,-0.34340123,,,,,,,,,2459777.40118683,0.00173490,-0.00170387,"BJD",8.0974658,,6139.95,1.810900,,,,,10.3450000,10.1140000,10.0830000,11.5160000,11.2440000
"TOI-1294 b","TOI-1294","<a refstr=POLANSKI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJS..272...32P/abstract target=ref>Polanski et al. 2024</a>","2024-06","Published Confirmed",0,1,"Transit",2024,"0.1 m TESS Telescope","Transiting Exoplanet Survey Satellite (TESS)",223.0926408,70.4765573,3.91529200000,0.00001500000,-0.00001500000,0.0510000000,0.0010000000,-0.0010000000,0.000000,90.0000,,0.859948,10.12369881,0.23643767,-0.22090361,63.90000000,4.70000000,-4.50000000,63.90000000,,0.340000,,1392.74,2459393.00711000,0.00066000,-0.00066000,"BJD",3.0331397,23.40000,5718.00,1.556600,1.157800,0.2830,,,10.3370000,10.0120000,9.9640000,11.3140000,11.3998000
"TOI-1295 b","TOI-1295","<a refstr=EHRHARDT_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024A&A...692A.220E/abstract target=ref>Ehrhardt et al. 2024</a>","2024-12","Published Confirmed",0,1,"Transit",2024,"0.1 m TESS Telescope","Transiting Exoplanet Survey Satellite (TESS)",256.6722026,67.8715032,3.19688380000,0.00000050000,-0.00000050000,0.0470000000,0.0020000000,-0.0020000000,0.024000,80.0000,,,15.69257298,0.89671846,-0.89671846,451.31633794,25.42627256,-25.42627256,451.31633794,,0.650000,1800.0000,2360.00,2459913.37999000,0.00020000,-0.00020000,"JD",6.2000000,158.00000,6280.00,1.700000,1.380000,0.2600,,"F",10.3410000,10.1230000,10.0800000,11.3030000,11.1307000
"TOI-1301.01","TOI-1301","<a refstr=CROSSFIELD_ET_AL_2025 href=https://ui.adsabs.harvard.edu/abs/2025AJ....169...89C/abstract target=ref>Crossfield et al. 2025</a>","2025-02","Published Confirmed",0,1,"Transit",2024,"0.1 m TESS Telescope","Transiting Exoplanet Survey Satellite (TESS)",275.8625432,71.5817479,6.09640720900,0.00000356500,-0.00000361400,0.0598660000,0.0021990000,-0.0023720000,,,,,2.47700000,0.19600000,-0.17700000,,,,,,,72.5500,,2459710.29440000,0.00033000,-0.00034000,"BJD-TDB",2.3326000,,4820.00,0.732000,0.770000,,,,9.6760000,9.1360000,9.0440000,11.3370000,11.1355000
"TOI-1301.01","TOI-1301","<a refstr=LAFARGA_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026MNRAS.tmp..514L/abstract target=ref>Lafarga et al. 2026</a>","2026-03","Published Confirmed",0,0,"Transit",2024,"0.1 m TESS Telescope","Transiting Exoplanet Survey Satellite (TESS)",275.8625432,71.5817479,6.09642458096,0.00002065204,-0.00001999851,,,,,,88.12711,0.549940,2.55259342,0.25403352,-0.20730174,,,,,,,,,2459789.54967571,0.00211556,-0.00193600,"BJD",2.4493499,,4726.00,0.731699,,,,,9.6760000,9.1360000,9.0440000,11.3370000,11.1355000
"TOI-1346 c","TOI-1346","<a refstr=GOMEZ_BARRIENTOS_ET_AL_2025 href=https://ui.adsabs.harvard.edu/abs/2025AJ....170..148G/abstract target=ref>Gomez Barrientos et al. 2025</a>","2025-09","Published Confirmed",0,1,"Transit",2025,"0.1 m TESS Telescope","Transiting Exoplanet Survey Satellite (TESS)",256.6226752,68.8433031,5.50255800000,0.00001500000,-0.00001500000,,,,,,89.39000,0.160000,2.23000000,0.14000000,-0.14000000,,,,,,,,928.00,2459771.72743000,0.00045000,-0.00046000,"BJD-TDB",,,5099.00,0.780000,0.820000,-0.0100,,,9.9090000,9.4590000,9.3830000,11.6930000,11.3041000
"TOI-1346 b","TOI-1346","<a refstr=GOMEZ_BARRIENTOS_ET_AL_2025 href=https://ui.adsabs.harvard.edu/abs/2025AJ....170..148G/abstract target=ref>Gomez Barrientos et al. 2025</a>","2025-09","Published Confirmed",0,1,"Transit",2025,"0.1 m TESS Telescope","Transiting Exoplanet Survey Satellite (TESS)",256.6226752,68.8433031,1.76225380000,0.00000470000,-0.00000460000,,,,,,82.83000,0.926100,2.39000000,0.16000000,-0.16000000,,,,,,,,1324.00,2459978.02390000,0.00220000,-0.00220000,"BJD-TDB",,,5099.00,0.780000,0.820000,-0.0100,,,9.9090000,9.4590000,9.3830000,11.6930000,11.3041000
"TOI-1347 b","TOI-1347","<a refstr=POLANSKI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJS..272...32P/abstract target=ref>Polanski et al. 2024</a>","2024-06","Published Confirmed",0,0,"Transit",2024,"0.1 m TESS Telescope","Transiting Exoplanet Survey Satellite (TESS)",280.3266806,70.2900536,0.84742431000,0.00000058000,-0.00000058000,0.0171000000,0.0003000000,-0.0003000000,0.000000,90.0000,,0.526202,1.81434694,0.09072063,-0.06126341,12.20000000,1.60000000,-1.50000000,12.20000000,,11.170000,,1698.50,2458683.55882000,0.00036000,-0.00036000,"BJD",0.8769615,8.60000,5493.00,0.840100,0.927900,0.0170,,,10.0110000,9.6830000,9.6160000,11.1680000,11.2087000
"TOI-1347 b","TOI-1347","<a refstr=RUBENZAHL_ET_AL_2024 href=https://ui.adsabs.harvard.edu/abs/2024AJ....167..153R/abstract target=ref>Rubenzahl et al. 2024</a>","2024-04","Published Confirmed",0,1,"Transit",2024,"0.1 m TESS Telescope","Transiting Exoplanet Survey Satellite (TESS)",280.3266806,70.2900536,0.84742346000,0.00000061000,-0.00000061000,,,,0.000000,,79.50000,0.820000,1.80000000,0.10000000,-0.10000000,11.10000000,1.20000000,-1.20000000,11.10000000,,9.900000,,1400.00,2458682.71214000,0.00060000,-0.00060000,"BJD",,7.74000,5464.00,0.830000,0.913000,0.0400,,,10.0110000,9.6830000,9.6160000,11.1680000,11.2087000
"TOI-1347 c","TOI-1347","<a refstr=POLANSKI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJS..272...32P/abstract target=ref>Polanski et al. 2024</a>","2024-06","Published Confirmed",0,0,"Transit",2024,"0.1 m TESS Telescope","Transiting Exoplanet Survey Satellite (TESS)",280.3266806,70.2900536,4.84196800000,0.00002500000,-0.00002500000,0.0546000000,0.0009000000,-0.0010000000,0.000000,90.0000,,0.483367,1.67761121,0.09031466,-0.06787170,9.00000000,,,9.00000000,,11.000000,,950.08,2458683.34850000,0.00270000,-0.00270000,"BJD",2.2428837,,5493.00,0.840100,0.927900,0.0170,,,10.0110000,9.6830000,9.6160000,11.1680000,11.2087000
