pl_name,hostname,pl_refname,pl_pubdate,soltype,pl_controv_flag,default_flag,discoverymethod,disc_year,disc_telescope,disc_facility,ra,dec,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbeccen,pl_orblper,pl_orbincl,pl_imppar,pl_rade,pl_radeerr1,pl_radeerr2,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_masse,pl_msinie,pl_dens,pl_insol,pl_eqt,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tsystemref,pl_trandur,pl_rvamp,st_teff,st_rad,st_mass,st_met,st_radv,st_spectype,sy_jmag,sy_hmag,sy_kmag,sy_vmag,sy_gaiamag
"pi Men c","HD 39091","<a refstr=KUNOVAC_HODZIC_ET_AL_2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.502.2893K/abstract target=ref>Kunovac Hod&#x17E;i&#x107; et al. 2021</a>","2021-04","Published Confirmed",0,1,"Transit",2018,"0.1 m TESS Telescope","Transiting Exoplanet Survey Satellite (TESS)",84.2992798,-80.4646041,6.26783990000,0.00001100000,-0.00001100000,,,,0.000000,0.0000,87.04500,0.646500,2.01890000,0.04650000,-0.04480000,,,,,,,,,2458425.78920400,0.00027900,-0.00028000,"BJD",2.9520240,,5998.00,1.170000,1.070000,0.0900,,,4.8690000,4.4240000,4.2410000,5.6500000,5.5128000
"pi Men c","HD 39091","<a refstr=KOKORI_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJS..265....4K/abstract target=ref>Kokori et al. 2023</a>","2023-03","Published Confirmed",0,0,"Transit",2018,"0.1 m TESS Telescope","Transiting Exoplanet Survey Satellite (TESS)",84.2992798,-80.4646041,6.26782930000,0.00000520000,-0.00000520000,,,,,,87.31000,,,,,,,,,,,,,2458820.66245000,0.00030000,-0.00030000,"BJD-TDB",,,5870.00,1.100000,1.020000,0.0500,10.70916,,4.8690000,4.4240000,4.2410000,5.6500000,5.5128000
"pi Men c","HD 39091","<a refstr=HARADA_ET_AL_2025 href=https://ui.adsabs.harvard.edu/abs/2025AJ....170..343H/abstract target=ref>Harada et al. 2025</a>","2025-12","Published Confirmed",0,0,"Transit",2018,"0.1 m TESS Telescope","Transiting Exoplanet Survey Satellite (TESS)",84.2992798,-80.4646041,6.26815000000,0.00045000000,-0.00044000000,0.0705000000,0.0017000000,-0.0018000000,0.084000,-6.0000,,,,,,4.20000000,0.54000000,-0.52000000,,4.20000000,,,,2455197.74000000,0.29000000,-0.30000000,"JD",,1.31000,5982.00,,,,,,4.8690000,4.4240000,4.2410000,5.6500000,5.5128000
"pi Men c","HD 39091","<a refstr=HATZES_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..223H/abstract target=ref>Hatzes et al. 2022</a>","2022-05","Published Confirmed",0,0,"Transit",2018,"0.1 m TESS Telescope","Transiting Exoplanet Survey Satellite (TESS)",84.2992798,-80.4646041,6.26785200000,0.00001600000,-0.00001600000,,,,0.000000,90.0000,87.05000,,,,,3.63000000,0.38000000,-0.38000000,3.63000000,3.63000000,,,,,,,"BJD-TDB",,1.21000,5998.00,1.190000,1.070000,0.0900,,,4.8690000,4.4240000,4.2410000,5.6500000,5.5128000
"pi Men c","HD 39091","<a refstr=HUANG_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018ApJ...868L..39H/abstract target=ref>Huang et al. 2018</a>","2018-12","Published Confirmed",0,0,"Transit",2018,"0.1 m TESS Telescope","Transiting Exoplanet Survey Satellite (TESS)",84.2992798,-80.4646041,6.26790000000,0.00046000000,-0.00046000000,0.0683900000,0.0005000000,-0.0005000000,0.000000,,87.45600,0.590000,2.04200000,0.05000000,-0.05000000,4.82000000,0.84000000,-0.86000000,4.82000000,,2.970000,309.0000,1169.80,2458325.50400000,0.00120000,-0.00074000,"BJD",2.9530000,1.58000,6037.00,1.100000,1.094000,0.0800,,"G0 V",4.8690000,4.4240000,4.2410000,5.6500000,5.5128000
"pi Men c","HD 39091","<a refstr=DAMASSO_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...642A..31D/abstract target=ref>Damasso et al. 2020</a>","2020-10","Published Confirmed",0,0,"Transit",2018,"0.1 m TESS Telescope","Transiting Exoplanet Survey Satellite (TESS)",84.2992798,-80.4646041,6.26785200000,0.00001600000,-0.00001600000,0.0680000000,0.0008000000,-0.0008000000,0.000000,90.0000,87.05000,,2.11000000,0.05000000,-0.05000000,4.30000000,0.70000000,-0.70000000,4.30000000,,2.800000,,,2458519.80680000,0.00030000,-0.00030000,"BJD",,1.50000,5998.00,1.170000,1.070000,0.0900,,,4.8690000,4.4240000,4.2410000,5.6500000,5.5128000
"pi Men c","HD 39091","<a refstr=GANDOLFI_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...619L..10G/abstract target=ref>Gandolfi et al. 2018</a>","2018-11","Published Confirmed",0,0,"Transit",2018,"0.1 m TESS Telescope","Transiting Exoplanet Survey Satellite (TESS)",84.2992798,-80.4646041,6.26834000000,0.00024000000,-0.00024000000,0.0670200000,0.0010900000,-0.0010900000,0.000000,,87.31000,0.614000,2.06000000,0.03000000,-0.03000000,4.52000000,0.81000000,-0.81000000,4.52000000,,2.820000,,1147.00,2458325.50305500,0.00077000,-0.00077000,"BJD-TDB",2.9690000,1.55000,5870.00,1.100000,1.020000,0.0500,10.70916,,4.8690000,4.4240000,4.2410000,5.6500000,5.5128000
"pi Men c","HD 39091","<a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>","2022-09","Published Confirmed",0,0,"Transit",2018,"0.1 m TESS Telescope","Transiting Exoplanet Survey Satellite (TESS)",84.2992798,-80.4646041,6.26791000000,0.00043000000,-0.00043000000,0.0690000000,0.0030000000,-0.0030000000,0.077000,103.3100,,,,,,3.49611248,0.31782841,-0.31782841,,3.49611248,,,,,,,"BJD",,1.18500,,,1.100000,,,,4.8690000,4.4240000,4.2410000,5.6500000,5.5128000
"LHS 3844 b","LHS 3844","<a refstr=PATEL__AMP__ESPINOZA_2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..228P/abstract target=ref>Patel &amp; Espinoza 2022</a>","2022-05","Published Confirmed",0,0,"Transit",2019,"0.1 m TESS Telescope","Transiting Exoplanet Survey Satellite (TESS)",340.4962038,-69.1721081,0.46292960000,0.00000010000,-0.00000010000,,,,,,,0.370000,,,,,,,,,,,,2459085.39295000,0.00010000,-0.00010000,"BJD",,,3036.00,0.189000,0.151000,,,"M5",10.0460000,9.4770000,9.1450010,15.2400000,13.3925000
"LHS 3844 b","LHS 3844","<a refstr=KOKORI_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJS..265....4K/abstract target=ref>Kokori et al. 2023</a>","2023-03","Published Confirmed",0,0,"Transit",2019,"0.1 m TESS Telescope","Transiting Exoplanet Survey Satellite (TESS)",340.4962038,-69.1721081,0.46292964000,0.00000033000,-0.00000033000,,,,,,88.50000,,,,,,,,,,,,,2458828.93037000,0.00025000,-0.00025000,"BJD-TDB",,,3036.00,0.189000,0.151000,,,"M5",10.0460000,9.4770000,9.1450010,15.2400000,13.3925000
"LHS 3844 b","LHS 3844","<a refstr=NAGEL_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026arXiv260328238N/abstract target=ref>Nagel et al. 2026</a>","2026-03","Published Confirmed",0,1,"Transit",2019,"0.1 m TESS Telescope","Transiting Exoplanet Survey Satellite (TESS)",340.4962038,-69.1721081,0.46292970900,0.00000004400,-0.00000004200,0.0062400000,0.0001900000,-0.0002000000,0.000000,90.0000,88.90000,0.137000,1.28600000,0.04300000,-0.04400000,2.37000000,0.25000000,-0.25000000,2.37000000,,6.150000,73.6700,816.00,2460178.83309000,0.00010000,-0.00011000,"BJD",0.5242000,6.95000,3080.00,0.189000,0.151000,0.2200,,"M4.5-M5.0",10.0460000,9.4770000,9.1450010,15.2400000,13.3925000
"LHS 3844 b","LHS 3844","<a refstr=VANDERSPEK_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...871L..24V/abstract target=ref>Vanderspek et al. 2019</a>","2019-02","Published Confirmed",0,0,"Transit",2019,"0.1 m TESS Telescope","Transiting Exoplanet Survey Satellite (TESS)",340.4962038,-69.1721081,0.46292913000,0.00000190000,-0.00000190000,0.0062200000,0.0001700000,-0.0001700000,,,88.50000,0.186000,1.30300000,0.02200000,-0.02200000,,,,,,,70.1000,805.00,2458325.72558000,0.00025000,-0.00025000,"BJD",0.5212000,,3036.00,0.189000,0.151000,,,"M5",10.0460000,9.4770000,9.1450010,15.2400000,13.3925000
"HD 202772 A b","HD 202772 A","<a refstr=WANG_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157...51W/abstract target=ref>Wang et al. 2019</a>","2019-02","Published Confirmed",0,0,"Transit",2019,"0.1 m TESS Telescope","Transiting Exoplanet Survey Satellite (TESS)",319.6995877,-26.6163743,3.30895800000,0.00008300000,-0.00008300000,0.0520800000,0.0006400000,-0.0006800000,0.038000,98.0000,84.51000,0.403000,17.31790500,0.58286800,-0.67254000,323.23311000,22.24810000,-21.61244000,323.23311000,321.96179000,0.343000,3440.0000,2132.00,2458338.61047000,0.00024000,-0.00024000,"BJD-TDB",5.6304000,96.40000,6272.00,2.591000,1.720000,0.3000,,,7.2320000,7.0480000,6.9590000,8.3240000,8.2268800
"HD 202772 A b","HD 202772 A","<a refstr=JOFRE_ET_AL_2025 href=https://ui.adsabs.harvard.edu/abs/2025MNRAS.544.3994J/abstract target=ref>Jofr&eacute; et al. 2025</a>","2025-12","Published Confirmed",0,1,"Transit",2019,"0.1 m TESS Telescope","Transiting Exoplanet Survey Satellite (TESS)",319.6995877,-26.6163743,3.30887750000,0.00000051000,-0.00000051000,0.0520800000,0.0005400000,-0.0005900000,0.030000,99.0000,84.90000,0.381000,18.23701160,0.78462865,-0.72858375,323.54931833,20.97667486,-20.02318964,323.54931833,322.27800470,0.293000,3770.0000,2181.00,2458328.68357000,0.00016000,-0.00016000,"BJD-TDB",5.6731000,96.50000,6442.00,2.554000,1.721000,0.2320,-17.97000,,7.2320000,7.0480000,6.9590000,8.3240000,8.2268800
"HD 202772 A b","HD 202772 A","<a refstr=KOKORI_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJS..265....4K/abstract target=ref>Kokori et al. 2023</a>","2023-03","Published Confirmed",0,0,"Transit",2019,"0.1 m TESS Telescope","Transiting Exoplanet Survey Satellite (TESS)",319.6995877,-26.6163743,3.30887530000,0.00000140000,-0.00000140000,,,,0.040000,98.0000,84.50000,,,,,,,,,,,,,2458705.89569000,0.00016000,-0.00016000,"BJD-TDB",,,6272.00,2.591000,1.720000,0.3000,,,7.2320000,7.0480000,6.9590000,8.3240000,8.2268800
"GJ 143 b","GJ 143","<a refstr=TRIFONOV_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...622L...7T/abstract target=ref>Trifonov et al. 2019</a>","2019-02","Published Confirmed",0,0,"Transit",2019,"0.1 m TESS Telescope","Transiting Exoplanet Survey Satellite (TESS)",51.7501882,-63.5001660,35.58900000000,0.00600000000,-0.00500000000,0.1932000000,0.0002000000,-0.0002000000,0.325000,121.8000,,,,,,30.63000000,2.63000000,-2.67000000,30.63000000,,,,,,,,,,7.60000,,0.730000,0.760000,,,,6.0810000,5.5240000,5.3750000,8.0800000,7.6790600
"GJ 143 b","GJ 143","<a refstr=DRAGOMIR_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...875L...7D/abstract target=ref>Dragomir et al. 2019</a>","2019-04","Published Confirmed",0,1,"Transit",2019,"0.1 m TESS Telescope","Transiting Exoplanet Survey Satellite (TESS)",51.7501882,-63.5001660,35.61253000000,0.00060000000,-0.00062000000,0.1915000000,0.0058000000,-0.0063000000,0.188000,98.0000,89.33000,0.587000,2.61000000,0.17000000,-0.16000000,22.70000000,2.20000000,-1.90000000,22.70000000,,7.000000,,422.00,2458385.92502000,0.00054000,-0.00055000,"BJD-TDB",3.2300000,5.51000,4640.00,0.695000,0.730000,0.0030,,"K4.5",6.0810000,5.5240000,5.3750000,8.0800000,7.6790600
"HD 23472 b","HD 23472","<a refstr=TRIFONOV_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...622L...7T/abstract target=ref>Trifonov et al. 2019</a>","2019-02","Published Confirmed",0,0,"Transit",2019,"0.1 m TESS Telescope","Transiting Exoplanet Survey Satellite (TESS)",55.4590314,-62.7672667,17.66700000000,0.14200000000,-0.09500000000,0.1210000000,0.0010000000,-0.0010000000,0.000000,0.0000,,,1.87200000,1.32100000,-1.32100000,17.92000000,1.41000000,-14.00000000,17.92000000,,,,,,,,,,5.33000,,0.730000,0.750000,,,,7.8650000,7.3470000,7.2070000,9.7300000,9.3847600
"HD 23472 b","HD 23472","<a refstr=BARROS_ET_AL_2022 href=https://ui.adsabs.harvard.edu/abs/2022A&A...665A.154B/abstract target=ref>Barros et al. 2022</a>","2022-09","Published Confirmed",0,1,"Transit",2019,"0.1 m TESS Telescope","Transiting Exoplanet Survey Satellite (TESS)",55.4590314,-62.7672667,17.66708700000,0.00004200000,-0.00004200000,0.1162000000,0.0018000000,-0.0018000000,0.072000,114.0000,88.93000,0.690000,2.00000000,0.11000000,-0.10000000,8.32000000,0.78000000,-0.79000000,8.32000000,,6.150000,16.0000,543.00,2458360.66410000,0.00120000,-0.00120000,"BJD-TDB",2.6700000,2.68000,4684.00,0.710000,0.670000,-0.2000,34.55274,"K4 V",7.8650000,7.3470000,7.2070000,9.7300000,9.3847600
"HD 23472 c","HD 23472","<a refstr=TRIFONOV_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...622L...7T/abstract target=ref>Trifonov et al. 2019</a>","2019-02","Published Confirmed",0,0,"Transit",2019,"0.1 m TESS Telescope","Transiting Exoplanet Survey Satellite (TESS)",55.4590314,-62.7672667,29.62500000000,0.22400000000,-0.17100000000,0.1700000000,0.0010000000,-0.0010000000,0.000000,0.0000,,,2.14900000,0.34500000,-0.34500000,17.18000000,1.07000000,-13.77000000,17.18000000,,,,,,,,,,4.29000,,0.730000,0.750000,,,,7.8650000,7.3470000,7.2070000,9.7300000,9.3847600
"HD 23472 c","HD 23472","<a refstr=BARROS_ET_AL_2022 href=https://ui.adsabs.harvard.edu/abs/2022A&A...665A.154B/abstract target=ref>Barros et al. 2022</a>","2022-09","Published Confirmed",0,1,"Transit",2019,"0.1 m TESS Telescope","Transiting Exoplanet Survey Satellite (TESS)",55.4590314,-62.7672667,29.79749000000,0.00013000000,-0.00014000000,0.1646000000,0.0024000000,-0.0024000000,0.063000,2.0000,89.09500,0.785000,1.87000000,0.12000000,-0.11000000,3.41000000,0.88000000,-0.81000000,3.41000000,,3.100000,7.9600,467.00,2458370.10370000,0.00190000,-0.00180000,"BJD-TDB",2.9400000,0.92000,4684.00,0.710000,0.670000,-0.2000,34.55274,"K4 V",7.8650000,7.3470000,7.2070000,9.7300000,9.3847600
"HD 219666 b","HD 219666","<a refstr=ESPOSITO_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...623A.165E/abstract target=ref>Esposito et al. 2019</a>","2019-03","Published Confirmed",0,0,"Transit",2018,"0.1 m TESS Telescope","Transiting Exoplanet Survey Satellite (TESS)",349.5592665,-56.9039857,6.03607000000,0.00064000000,-0.00063000000,0.0635600000,0.0026500000,-0.0026500000,0.000000,,86.38000,0.838000,4.71000000,0.17000000,-0.17000000,16.60000000,1.30000000,-1.30000000,16.60000000,,0.870000,,1073.00,2458329.19960000,0.00120000,-0.00120000,"BJD-TDB",2.1580000,6.17000,5527.00,1.030000,0.920000,0.0400,-20.09760,,8.5570000,8.2540000,8.1580000,9.8090000,9.6495600
"HD 219666 b","HD 219666","<a refstr=ODDO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....165..134O/abstract target=ref>Oddo et al. 2023</a>","2023-03","Published Confirmed",0,0,"Transit",2018,"0.1 m TESS Telescope","Transiting Exoplanet Survey Satellite (TESS)",349.5592665,-56.9039857,6.04345000000,0.00001000000,-0.00001000000,0.1040000000,0.0050000000,-0.0050000000,,,88.93800,0.402000,4.24000000,0.16000000,-0.16000000,,,,,,,,838.00,2459083.51090000,0.00110000,-0.00110000,"BJD",2.0280000,,5527.00,1.030000,0.920000,0.0400,,"G5 V",8.5570000,8.2540000,8.1580000,9.8090000,9.6495600
"HD 219666 b","HD 219666","<a refstr=KOKORI_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJS..265....4K/abstract target=ref>Kokori et al. 2023</a>","2023-03","Published Confirmed",0,0,"Transit",2018,"0.1 m TESS Telescope","Transiting Exoplanet Survey Satellite (TESS)",349.5592665,-56.9039857,6.03446800000,0.00001400000,-0.00001400000,,,,,,86.38000,,,,,,,,,,,,,2458600.75321000,0.00081000,-0.00081000,"BJD-TDB",,,5527.00,1.030000,0.920000,0.0400,-20.09760,,8.5570000,8.2540000,8.1580000,9.8090000,9.6495600
"HD 219666 b","HD 219666","<a refstr=MURPHY_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025AJ....169..286M/abstract target=ref>Murphy et al. 2025</a>","2025-06","Published Confirmed",0,1,"Transit",2018,"0.1 m TESS Telescope","Transiting Exoplanet Survey Satellite (TESS)",349.5592665,-56.9039857,6.03446800000,0.00000400000,-0.00000400000,,,,0.050000,0.0000,86.42000,,4.89800000,0.06000000,-0.06000000,17.60000000,1.20000000,-1.20000000,17.60000000,,,,1076.00,2459083.51070000,0.00010000,-0.00010000,"BJD-TDB",,6.07000,5540.00,1.059000,1.020000,,,,8.5570000,8.2540000,8.1580000,9.8090000,9.6495600
"HD 219666 b","HD 219666","<a refstr=PATEL__AMP__ESPINOZA_2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..228P/abstract target=ref>Patel &amp; Espinoza 2022</a>","2022-05","Published Confirmed",0,0,"Transit",2018,"0.1 m TESS Telescope","Transiting Exoplanet Survey Satellite (TESS)",349.5592665,-56.9039857,6.03579700000,0.00030700000,-0.00001600000,,,,,,,0.805000,,,,,,,,,,,,2459083.67430000,0.03780000,-0.00190000,"BJD",,,5527.00,1.030000,0.920000,0.0400,-20.09760,,8.5570000,8.2540000,8.1580000,9.8090000,9.6495600
"HD 1397 b","HD 1397","<a refstr=NIELSEN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...623A.100N/abstract target=ref>Nielsen et al. 2019</a>","2019-03","Published Confirmed",0,1,"Transit",2018,"0.1 m TESS Telescope","Transiting Exoplanet Survey Satellite (TESS)",4.4471631,-66.3589285,11.53533000000,0.00079000000,-0.00080000000,0.1097000000,0.0011000000,-0.0013000000,0.251000,2.1000,88.99000,0.170000,11.50043400,0.28022500,-0.30264300,131.89945000,6.35660000,-6.35660000,131.89945000,,0.477000,356.0000,1228.30,2458332.08261000,0.00060000,-0.00060000,"BJD-TDB",8.6016000,32.00000,5521.00,2.336000,1.324000,0.2900,,,6.4420000,6.0900000,5.9880000,7.7900000,7.5933600
"HD 1397 b","HD 1397","<a refstr=BRAHM_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158...45B/abstract target=ref>Brahm et al. 2019</a>","2019-07","Published Confirmed",0,0,"Transit",2018,"0.1 m TESS Telescope","Transiting Exoplanet Survey Satellite (TESS)",4.4471631,-66.3589285,11.53660000000,0.00030000000,-0.00030000000,0.1003000000,0.0042000000,-0.0045000000,0.216000,35.3000,88.70000,0.180000,11.46680700,0.14571700,-0.14571700,116.64361000,6.99226000,-7.31009000,116.64361000,,,,1519.00,2458332.08170000,0.00040000,-0.00040000,"BJD",,28.30000,5474.00,2.341000,1.257000,0.0400,,,6.4420000,6.0900000,5.9880000,7.7900000,7.5933600
"HD 1397 b","HD 1397","<a refstr=PATEL__AMP__ESPINOZA_2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..228P/abstract target=ref>Patel &amp; Espinoza 2022</a>","2022-05","Published Confirmed",0,0,"Transit",2018,"0.1 m TESS Telescope","Transiting Exoplanet Survey Satellite (TESS)",4.4471631,-66.3589285,11.53508000000,0.00050000000,-0.00053000000,,,,,,,0.140000,,,,,,,,,,,,2458332.08300000,0.00051000,-0.00053000,"BJD",,,5521.00,2.336000,1.324000,0.2900,,,6.4420000,6.0900000,5.9880000,7.7900000,7.5933600
"TOI-172 b","TOI-172","<a refstr=KOKORI_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJS..265....4K/abstract target=ref>Kokori et al. 2023</a>","2023-03","Published Confirmed",0,0,"Transit",2019,"0.1 m TESS Telescope","Transiting Exoplanet Survey Satellite (TESS)",316.6318791,-26.6928654,9.47693600000,0.00002600000,-0.00002600000,,,,0.380600,57.1000,88.20000,,,,,,,,,,,,,2459085.07240000,0.00100000,-0.00100000,"BJD-TDB",,,5645.00,1.777000,1.128000,0.1480,,,10.1350000,9.8250000,9.7220000,11.2990000,11.1927000
"TOI-172 b","TOI-172","<a refstr=RODRIGUEZ_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..191R/abstract target=ref>Rodriguez et al. 2019</a>","2019-05","Published Confirmed",0,1,"Transit",2019,"0.1 m TESS Telescope","Transiting Exoplanet Survey Satellite (TESS)",316.6318791,-26.6928654,9.47725000000,0.00064000000,-0.00079000000,0.0914000000,0.0017000000,-0.0017000000,0.380600,57.1000,88.20000,0.220000,10.81668500,0.35868800,-0.32506100,1722.63860000,69.92260000,-63.56600000,1722.63860000,1722.63860000,7.530000,299.0000,1198.00,2458345.87340000,0.00130000,-0.00130000,"BJD-TDB",4.7136000,517.60000,5645.00,1.777000,1.128000,0.1480,,,10.1350000,9.8250000,9.7220000,11.2990000,11.1927000
"HD 221416 b","HD 221416","<a refstr=HUBER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..245H/abstract target=ref>Huber et al. 2019</a>","2019-06","Published Confirmed",0,1,"Transit",2019,"0.1 m TESS Telescope","Transiting Exoplanet Survey Satellite (TESS)",353.0331863,-21.8012007,14.27670000000,0.00370000000,-0.00370000000,0.1228000000,0.0025000000,-0.0026000000,0.115000,-106.0000,85.75000,0.728000,9.17000000,0.34000000,-0.31000000,60.50000000,5.70000000,-5.70000000,60.50000000,,0.431000,,,2458357.01490000,0.00250000,-0.00260000,"BJD",,14.10000,5080.00,2.943000,1.212000,-0.0800,,,6.5680000,6.1490000,6.0430000,8.1500000,7.9077600
"HD 221416 b","HD 221416","<a refstr=PATEL__AMP__ESPINOZA_2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..228P/abstract target=ref>Patel &amp; Espinoza 2022</a>","2022-05","Published Confirmed",0,0,"Transit",2019,"0.1 m TESS Telescope","Transiting Exoplanet Survey Satellite (TESS)",353.0331863,-21.8012007,14.27690000000,0.00100000000,-0.00110000000,,,,,,,0.740000,,,,,,,,,,,,2459085.13900000,0.05200000,-0.05700000,"BJD",,,5080.00,2.943000,1.212000,-0.0800,,,6.5680000,6.1490000,6.0430000,8.1500000,7.9077600
"HD 21749 c","GJ 143","<a refstr=DRAGOMIR_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...875L...7D/abstract target=ref>Dragomir et al. 2019</a>","2019-04","Published Confirmed",0,1,"Transit",2019,"0.1 m TESS Telescope","Transiting Exoplanet Survey Satellite (TESS)",51.7501882,-63.5001660,7.78993000000,0.00051000000,-0.00044000000,0.0695000000,0.0021000000,-0.0023000000,,,88.90000,0.420000,0.89200000,0.06400000,-0.05800000,3.70000000,,,3.70000000,,31.930000,,701.00,2458371.22870000,0.00160000,-0.00150000,"BJD-TDB",2.5150000,1.43000,4640.00,0.695000,0.730000,0.0030,,"K4.5",6.0810000,5.5240000,5.3750000,8.0800000,7.6790600
"TOI-216.02","TOI-216","<a refstr=KOKORI_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJS..265....4K/abstract target=ref>Kokori et al. 2023</a>","2023-03","Published Confirmed",0,0,"Transit",2019,"0.1 m TESS Telescope","Transiting Exoplanet Survey Satellite (TESS)",73.9800129,-63.2603301,17.20300000000,0.01300000000,-0.01300000000,,,,,,88.36400,,,,,,,,,,,,,2458892.98500000,0.06400000,-0.06400000,"BJD-TDB",,,5026.00,0.838000,0.874000,0.3200,,,10.7590000,10.3320000,10.2180000,12.3240000,12.1631000
"TOI-216.02","TOI-216","<a refstr=KIPPING_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.486.4980K/abstract target=ref>Kipping et al. 2019</a>","2019-07","Published Confirmed",0,0,"Transit",2019,"0.1 m TESS Telescope","Transiting Exoplanet Survey Satellite (TESS)",73.9800129,-63.2603301,17.08900000000,0.01100000000,-0.01500000000,0.1293000000,0.0067000000,-0.0051000000,0.132000,193.0000,88.36400,0.948000,7.69000000,1.62000000,-0.83000000,30.00000000,20.00000000,-14.00000000,30.00000000,,0.340000,25.9000,628.00,2458325.32700000,0.00260000,-0.00260000,"BJD-UTC",2.0620000,,5026.00,0.838000,0.874000,0.3200,,,10.7590000,10.3320000,10.2180000,12.3240000,12.1631000
"TOI-216.02","TOI-216","<a refstr=DAWSON_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....161..161D/abstract target=ref>Dawson et al. 2021</a>","2021-04","Published Confirmed",0,1,"Transit",2019,"0.1 m TESS Telescope","Transiting Exoplanet Survey Satellite (TESS)",73.9800129,-63.2603301,17.16073000000,,,,,,0.160000,291.8000,88.60000,0.980000,8.00000000,3.00000000,-2.00000000,18.75187601,0.63565681,-0.63565681,18.75187601,,,,,2458324.59110000,,,"BJD",,,,0.748000,0.770000,,,,10.7590000,10.3320000,10.2180000,12.3240000,12.1631000
"TOI-216.01","TOI-216","<a refstr=KOKORI_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJS..265....4K/abstract target=ref>Kokori et al. 2023</a>","2023-03","Published Confirmed",0,0,"Transit",2019,"0.1 m TESS Telescope","Transiting Exoplanet Survey Satellite (TESS)",73.9800129,-63.2603301,34.50730000000,0.00420000000,-0.00420000000,,,,,,89.83000,,,,,,,,,,,,,2458848.97000000,0.02200000,-0.02200000,"BJD-TDB",,,5026.00,0.838000,0.874000,0.3200,,,10.7590000,10.3320000,10.2180000,12.3240000,12.1631000
"TOI-216.01","TOI-216","<a refstr=DAWSON_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....161..161D/abstract target=ref>Dawson et al. 2021</a>","2021-04","Published Confirmed",0,1,"Transit",2019,"0.1 m TESS Telescope","Transiting Exoplanet Survey Satellite (TESS)",73.9800129,-63.2603301,34.52552800000,,,,,,0.004600,190.0000,89.84000,0.140000,10.10000000,0.20000000,-0.20000000,177.98390792,6.35656814,-6.35656814,177.98390792,,,,,2458331.41100000,,,"BJD",,,,0.748000,0.770000,,,,10.7590000,10.3320000,10.2180000,12.3240000,12.1631000
